,Word,Song,Word Length,Number of Vowels,Frequency,Pronoun
0,lately,Personal Lies,6,2,1,False
1,i,Personal Lies,1,1,67,True
2,feel,Personal Lies,4,2,2,False
3,like,Personal Lies,4,2,5,False
4,i've,Personal Lies,4,2,1,True
5,been,Personal Lies,4,2,1,False
6,losing,Personal Lies,6,2,1,False
7,my,Personal Lies,2,0,33,True
8,mind,Personal Lies,4,1,7,False
9,i'm,Personal Lies,3,1,13,True
10,acting,Personal Lies,6,2,1,False
11,funny,Personal Lies,5,1,1,False
12,i,Personal Lies,1,1,67,True
13,keep,Personal Lies,4,2,2,False
14,refilling,Personal Lies,9,3,1,False
15,my,Personal Lies,2,0,33,True
16,wine,Personal Lies,4,2,1,False
17,i,Personal Lies,1,1,67,True
18,fail,Personal Lies,4,2,1,False
19,to,Personal Lies,2,1,24,False
20,notice,Personal Lies,6,3,1,False
21,when,Personal Lies,4,1,8,False
22,i,Personal Lies,1,1,67,True
23,blew,Personal Lies,4,1,1,False
24,past,Personal Lies,4,1,1,False
25,my,Personal Lies,2,0,33,True
26,limit,Personal Lies,5,2,2,False
27,and,Personal Lies,3,1,19,False
28,then,Personal Lies,4,1,3,False
29,i,Personal Lies,1,1,67,True
30,lied,Personal Lies,4,2,1,False
31,about,Personal Lies,5,3,3,False
32,it,Personal Lies,2,1,21,False
33,said,Personal Lies,4,2,2,False
34,i,Personal Lies,1,1,67,True
35,didn't,Personal Lies,6,1,2,False
36,i'm,Personal Lies,3,1,13,True
37,writing,Personal Lies,7,2,1,False
38,words,Personal Lies,5,1,1,False
39,that,Personal Lies,4,1,15,False
40,didn't,Personal Lies,6,1,2,False
41,come,Personal Lies,4,2,1,False
42,to,Personal Lies,2,1,24,False
43,my,Personal Lies,2,0,33,True
44,head,Personal Lies,4,2,4,False
45,i'm,Personal Lies,3,1,13,True
46,pushing,Personal Lies,7,2,1,False
47,pennies,Personal Lies,7,3,1,False
48,in,Personal Lies,2,1,17,False
49,my,Personal Lies,2,0,33,True
50,paperback,Personal Lies,9,3,1,False
51,instead,Personal Lies,7,3,1,False
52,when,Personal Lies,4,1,8,False
53,someone,Personal Lies,7,4,2,True
54,calls,Personal Lies,5,1,1,False
55,me,Personal Lies,2,1,21,True
56,i'm,Personal Lies,3,1,13,True
57,most,Personal Lies,4,1,1,False
58,likely,Personal Lies,6,2,1,False
59,to,Personal Lies,2,1,24,False
60,ignore,Personal Lies,6,3,1,False
61,cause,Personal Lies,5,3,4,False
62,recall,Personal Lies,6,2,1,False
63,that,Personal Lies,4,1,15,False
64,limit,Personal Lies,5,2,2,False
65,that,Personal Lies,4,1,15,False
66,i,Personal Lies,1,1,67,True
67,missed,Personal Lies,6,2,1,False
68,before,Personal Lies,6,3,1,False
69,she's,Personal Lies,5,1,11,True
70,moving,Personal Lies,6,2,7,False
71,faster,Personal Lies,6,2,9,False
72,now,Personal Lies,3,1,10,False
73,faster,Personal Lies,6,2,9,False
74,than,Personal Lies,4,1,5,False
75,sound,Personal Lies,5,2,5,False
76,itself,Personal Lies,6,2,4,True
77,yeah,Personal Lies,4,2,3,False
78,she's,Personal Lies,5,1,11,True
79,got,Personal Lies,3,1,7,False
80,me,Personal Lies,2,1,21,True
81,slipping,Personal Lies,8,2,3,False
82,when,Personal Lies,4,1,8,False
83,i,Personal Lies,1,1,67,True
84,told,Personal Lies,4,1,2,False
85,her,Personal Lies,3,1,2,True
86,what,Personal Lies,4,1,3,False
87,was,Personal Lies,3,1,4,False
88,on,Personal Lies,2,1,11,False
89,my,Personal Lies,2,0,33,True
90,mind,Personal Lies,4,1,7,False
91,that,Personal Lies,4,1,15,False
92,she's,Personal Lies,5,1,11,True
93,mysterious,Personal Lies,10,4,5,False
94,i,Personal Lies,1,1,67,True
95,caught,Personal Lies,6,2,1,False
96,a,Personal Lies,1,1,21,False
97,current,Personal Lies,7,2,1,False
98,and,Personal Lies,3,1,19,False
99,i'm,Personal Lies,3,1,13,True
100,floatin,Personal Lies,7,3,1,False
101,away,Personal Lies,4,2,1,False
102,i,Personal Lies,1,1,67,True
103,feel,Personal Lies,4,2,2,False
104,it,Personal Lies,2,1,21,False
105,right,Personal Lies,5,1,5,False
106,behind,Personal Lies,6,2,2,False
107,my,Personal Lies,2,0,33,True
108,mind,Personal Lies,4,1,7,False
109,my,Personal Lies,2,0,33,True
110,head,Personal Lies,4,2,4,False
111,my,Personal Lies,2,0,33,True
112,brain,Personal Lies,5,2,1,False
113,is,Personal Lies,2,1,10,False
114,that,Personal Lies,4,1,15,False
115,my,Personal Lies,2,0,33,True
116,tears,Personal Lies,5,2,1,False
117,or,Personal Lies,2,1,2,False
118,is,Personal Lies,2,1,10,False
119,it,Personal Lies,2,1,21,False
120,right,Personal Lies,5,1,5,False
121,behind,Personal Lies,6,2,2,False
122,my,Personal Lies,2,0,33,True
123,eyes,Personal Lies,4,2,1,False
124,sooner,Personal Lies,6,3,1,False
125,or,Personal Lies,2,1,2,False
126,later,Personal Lies,5,2,1,False
127,will,Personal Lies,4,1,2,False
128,i,Personal Lies,1,1,67,True
129,realize,Personal Lies,7,4,1,False
130,fake,Personal Lies,4,2,1,False
131,aggravation,Personal Lies,11,5,1,False
132,is,Personal Lies,2,1,10,False
133,your,Personal Lies,4,2,4,True
134,way,Personal Lies,3,1,3,False
135,to,Personal Lies,2,1,24,False
136,be,Personal Lies,2,1,6,False
137,seen,Personal Lies,4,2,1,False
138,you,Personal Lies,3,2,52,True
139,summon,Personal Lies,6,2,1,False
140,every,Personal Lies,5,2,2,False
141,single,Personal Lies,6,2,2,False
142,muscle,Personal Lies,6,2,1,False
143,on,Personal Lies,2,1,11,False
144,the,Personal Lies,3,1,31,False
145,team,Personal Lies,4,2,2,False
146,you,Personal Lies,3,2,52,True
147,need,Personal Lies,4,2,3,False
148,attention,Personal Lies,9,4,1,False
149,well,Personal Lies,4,1,2,False
150,baby,Personal Lies,4,1,2,False
151,there's,Personal Lies,7,2,4,False
152,the,Personal Lies,3,1,31,False
153,line,Personal Lies,4,2,1,False
154,signed,Personal Lies,6,2,1,False
155,sealed,Personal Lies,6,3,2,False
156,delivered,Personal Lies,9,4,1,False
157,plus,Personal Lies,4,1,1,False
158,my,Personal Lies,2,0,33,True
159,overtime,Personal Lies,8,4,1,False
160,she's,Personal Lies,5,1,11,True
161,moving,Personal Lies,6,2,7,False
162,faster,Personal Lies,6,2,9,False
163,now,Personal Lies,3,1,10,False
164,faster,Personal Lies,6,2,9,False
165,than,Personal Lies,4,1,5,False
166,sound,Personal Lies,5,2,5,False
167,itself,Personal Lies,6,2,4,True
168,yeah,Personal Lies,4,2,3,False
169,she's,Personal Lies,5,1,11,True
170,got,Personal Lies,3,1,7,False
171,me,Personal Lies,2,1,21,True
172,slipping,Personal Lies,8,2,3,False
173,when,Personal Lies,4,1,8,False
174,i,Personal Lies,1,1,67,True
175,told,Personal Lies,4,1,2,False
176,her,Personal Lies,3,1,2,True
177,what,Personal Lies,4,1,3,False
178,is,Personal Lies,2,1,10,False
179,on,Personal Lies,2,1,11,False
180,my,Personal Lies,2,0,33,True
181,mind,Personal Lies,4,1,7,False
182,that,Personal Lies,4,1,15,False
183,she's,Personal Lies,5,1,11,True
184,mysterious,Personal Lies,10,4,5,False
185,mysterious,Personal Lies,10,4,5,False
186,and,Personal Lies,3,1,19,False
187,now,Personal Lies,3,1,10,False
188,i,Personal Lies,1,1,67,True
189,know,Personal Lies,4,1,10,False
190,it,Personal Lies,2,1,21,False
191,she's,Personal Lies,5,1,11,True
192,moving,Personal Lies,6,2,7,False
193,faster,Personal Lies,6,2,9,False
194,now,Personal Lies,3,1,10,False
195,she's,Personal Lies,5,1,11,True
196,moving,Personal Lies,6,2,7,False
197,faster,Personal Lies,6,2,9,False
198,now,Personal Lies,3,1,10,False
199,faster,Personal Lies,6,2,9,False
200,than,Personal Lies,4,1,5,False
201,sound,Personal Lies,5,2,5,False
202,itself,Personal Lies,6,2,4,True
203,faster,Personal Lies,6,2,9,False
204,than,Personal Lies,4,1,5,False
205,sound,Personal Lies,5,2,5,False
206,itself,Personal Lies,6,2,4,True
207,well,Personal Lies,4,1,2,False
208,she's,Personal Lies,5,1,11,True
209,got,Personal Lies,3,1,7,False
210,me,Personal Lies,2,1,21,True
211,slipping,Personal Lies,8,2,3,False
212,when,Personal Lies,4,1,8,False
213,i,Personal Lies,1,1,67,True
214,don't,Personal Lies,5,1,12,False
215,know,Personal Lies,4,1,10,False
216,what,Personal Lies,4,1,3,False
217,is,Personal Lies,2,1,10,False
218,on,Personal Lies,2,1,11,False
219,my,Personal Lies,2,0,33,True
220,mind,Personal Lies,4,1,7,False
221,that,Personal Lies,4,1,15,False
222,she's,Personal Lies,5,1,11,True
223,mysterious,Personal Lies,10,4,5,False
224,mysterious,Personal Lies,10,4,5,False
225,and,Personal Lies,3,1,19,False
226,now,Personal Lies,3,1,10,False
227,i,Personal Lies,1,1,67,True
228,know,Personal Lies,4,1,10,False
229,it,Personal Lies,2,1,21,False
230,do,Personal Lies,2,1,15,False
231,you,Personal Lies,3,2,52,True
232,care,Personal Lies,4,2,18,False
233,do,Personal Lies,2,1,15,False
234,you,Personal Lies,3,2,52,True
235,care,Personal Lies,4,2,18,False
236,do,Personal Lies,2,1,15,False
237,you,Personal Lies,3,2,52,True
238,care,Personal Lies,4,2,18,False
239,not,Personal Lies,3,1,19,False
240,at,Personal Lies,2,1,21,False
241,all,Personal Lies,3,1,21,False
242,do,Personal Lies,2,1,15,False
243,you,Personal Lies,3,2,52,True
244,not,Personal Lies,3,1,19,False
245,at,Personal Lies,2,1,21,False
246,all,Personal Lies,3,1,21,False
247,care,Personal Lies,4,2,18,False
248,no,Personal Lies,2,1,8,False
249,not,Personal Lies,3,1,19,False
250,at,Personal Lies,2,1,21,False
251,all,Personal Lies,3,1,21,False
252,do,Personal Lies,2,1,15,False
253,you,Personal Lies,3,2,52,True
254,not,Personal Lies,3,1,19,False
255,at,Personal Lies,2,1,21,False
256,all,Personal Lies,3,1,21,False
257,care,Personal Lies,4,2,18,False
258,not,Personal Lies,3,1,19,False
259,at,Personal Lies,2,1,21,False
260,all,Personal Lies,3,1,21,False
261,do,Personal Lies,2,1,15,False
262,you,Personal Lies,3,2,52,True
263,not,Personal Lies,3,1,19,False
264,at,Personal Lies,2,1,21,False
265,all,Personal Lies,3,1,21,False
266,care,Personal Lies,4,2,18,False
267,no,Personal Lies,2,1,8,False
268,not,Personal Lies,3,1,19,False
269,at,Personal Lies,2,1,21,False
270,all,Personal Lies,3,1,21,False
271,do,Personal Lies,2,1,15,False
272,you,Personal Lies,3,2,52,True
273,not,Personal Lies,3,1,19,False
274,at,Personal Lies,2,1,21,False
275,all,Personal Lies,3,1,21,False
276,care,Personal Lies,4,2,18,False
277,not,Personal Lies,3,1,19,False
278,at,Personal Lies,2,1,21,False
279,all,Personal Lies,3,1,21,False
280,you,Personal Lies,3,2,52,True
281,know,Personal Lies,4,1,10,False
282,i,Personal Lies,1,1,67,True
283,really,Personal Lies,6,2,6,False
284,don't,Personal Lies,5,1,12,False
285,care,Personal Lies,4,2,18,False
286,do,Personal Lies,2,1,15,False
287,you,Personal Lies,3,2,52,True
288,care,Personal Lies,4,2,18,False
289,not,Personal Lies,3,1,19,False
290,at,Personal Lies,2,1,21,False
291,all,Personal Lies,3,1,21,False
292,i,Personal Lies,1,1,67,True
293,got,Personal Lies,3,1,7,False
294,the,Personal Lies,3,1,31,False
295,feeling,Personal Lies,7,3,1,False
296,right,Personal Lies,5,1,5,False
297,here,Personal Lies,4,2,3,False
298,no,Personal Lies,2,1,8,False
299,not,Personal Lies,3,1,19,False
300,at,Personal Lies,2,1,21,False
301,all,Personal Lies,3,1,21,False
302,do,Personal Lies,2,1,15,False
303,you,Personal Lies,3,2,52,True
304,care,Personal Lies,4,2,18,False
305,you,Personal Lies,3,2,52,True
306,know,Personal Lies,4,1,10,False
307,i,Personal Lies,1,1,67,True
308,really,Personal Lies,6,2,6,False
309,don't,Personal Lies,5,1,12,False
310,care,Personal Lies,4,2,18,False
311,not,Personal Lies,3,1,19,False
312,at,Personal Lies,2,1,21,False
313,all,Personal Lies,3,1,21,False
314,you,Personal Lies,3,2,52,True
315,know,Personal Lies,4,1,10,False
316,i,Personal Lies,1,1,67,True
317,really,Personal Lies,6,2,6,False
318,don't,Personal Lies,5,1,12,False
319,care,Personal Lies,4,2,18,False
320,not,Personal Lies,3,1,19,False
321,at,Personal Lies,2,1,21,False
322,all,Personal Lies,3,1,21,False
323,do,Personal Lies,2,1,15,False
324,you,Personal Lies,3,2,52,True
325,care,Personal Lies,4,2,18,False
326,not,Personal Lies,3,1,19,False
327,at,Personal Lies,2,1,21,False
328,all,Personal Lies,3,1,21,False
329,i,Personal Lies,1,1,67,True
330,got,Personal Lies,3,1,7,False
331,those,Personal Lies,5,2,1,False
332,feelings,Personal Lies,8,3,2,False
333,right,Personal Lies,5,1,5,False
334,here,Personal Lies,4,2,3,False
335,no,Personal Lies,2,1,8,False
336,not,Personal Lies,3,1,19,False
337,at,Personal Lies,2,1,21,False
338,all,Personal Lies,3,1,21,False
339,the,Personal Lies,3,1,31,False
340,safe,Personal Lies,4,2,1,False
341,way,Personal Lies,3,1,3,False
342,we,Personal Lies,2,1,3,True
343,appear,Personal Lies,6,3,1,False
344,do,Personal Lies,2,1,15,False
345,you,Personal Lies,3,2,52,True
346,care,Personal Lies,4,2,18,False
347,not,Personal Lies,3,1,19,False
348,at,Personal Lies,2,1,21,False
349,all,Personal Lies,3,1,21,False
350,oh,Personal Lies,2,1,11,False
351,baby,Personal Lies,4,1,2,False
352,now,Personal Lies,3,1,10,False
353,that's,Personal Lies,6,1,4,False
354,alright,Personal Lies,7,2,1,False
355,not,Personal Lies,3,1,19,False
356,at,Personal Lies,2,1,21,False
357,all,Personal Lies,3,1,21,False
358,you,Personal Lies,3,2,52,True
359,know,Personal Lies,4,1,10,False
360,i,Personal Lies,1,1,67,True
361,really,Personal Lies,6,2,6,False
362,don't,Personal Lies,5,1,12,False
363,care,Personal Lies,4,2,18,False
364,do,Personal Lies,2,1,15,False
365,you,Personal Lies,3,2,52,True
366,care,Personal Lies,4,2,18,False
367,not,Personal Lies,3,1,19,False
368,at,Personal Lies,2,1,21,False
369,all,Personal Lies,3,1,21,False
370,i,Personal Lies,1,1,67,True
371,got,Personal Lies,3,1,7,False
372,the,Personal Lies,3,1,31,False
373,feelings,Personal Lies,8,3,2,False
374,right,Personal Lies,5,1,5,False
375,here,Personal Lies,4,2,3,False
376,no,Personal Lies,2,1,8,False
377,not,Personal Lies,3,1,19,False
378,at,Personal Lies,2,1,21,False
379,all,Personal Lies,3,1,21,False
380,do,Personal Lies,2,1,15,False
381,you,Personal Lies,3,2,52,True
382,care,Personal Lies,4,2,18,False
383,i,Half Life,1,1,67,True
384,fight,Half Life,5,1,1,False
385,the,Half Life,3,1,31,False
386,urge,Half Life,4,2,1,False
387,to,Half Life,2,1,24,False
388,search,Half Life,6,2,1,False
389,my,Half Life,2,0,33,True
390,name,Half Life,4,2,1,False
391,there's,Half Life,7,2,4,False
392,a,Half Life,1,1,21,False
393,better,Half Life,6,2,1,False
394,me,Half Life,2,1,21,True
395,i,Half Life,1,1,67,True
396,swear,Half Life,5,2,1,False
397,but,Half Life,3,1,3,False
398,curiosity,Half Life,9,4,1,False
399,i,Half Life,1,1,67,True
400,see,Half Life,3,2,5,False
401,i,Half Life,1,1,67,True
402,let,Half Life,3,1,3,False
403,my,Half Life,2,0,33,True
404,ego,Half Life,3,2,1,False
405,get,Half Life,3,1,3,False
406,the,Half Life,3,1,31,False
407,best,Half Life,4,1,2,False
408,of,Half Life,2,1,13,False
409,me,Half Life,2,1,21,True
410,in,Half Life,2,1,17,False
411,the,Half Life,3,1,31,False
412,age,Half Life,3,2,1,False
413,of,Half Life,2,1,13,False
414,excess,Half Life,6,2,1,False
415,less,Half Life,4,1,1,False
416,may,Half Life,3,1,1,False
417,be,Half Life,2,1,6,False
418,best,Half Life,4,1,2,False
419,for,Half Life,3,1,11,False
420,me,Half Life,2,1,21,True
421,god,Half Life,3,1,7,False
422,it,Half Life,2,1,21,False
423,makes,Half Life,5,2,1,False
424,me,Half Life,2,1,21,True
425,sad,Half Life,3,1,1,False
426,we're,Half Life,5,2,2,True
427,the,Half Life,3,1,31,False
428,last,Half Life,4,1,2,False
429,to,Half Life,2,1,24,False
430,know,Half Life,4,1,10,False
431,the,Half Life,3,1,31,False
432,world,Half Life,5,1,2,False
433,is,Half Life,2,1,10,False
434,changin,Half Life,7,2,1,False
435,and,Half Life,3,1,19,False
436,upgradin,Half Life,8,3,1,False
437,faster,Half Life,6,2,9,False
438,than,Half Life,4,1,5,False
439,we,Half Life,2,1,3,True
440,can,Half Life,3,1,4,False
441,control,Half Life,7,2,1,False
442,sick,Half Life,4,1,1,False
443,of,Half Life,2,1,13,False
444,living,Half Life,6,2,1,False
445,in,Half Life,2,1,17,False
446,the,Half Life,3,1,31,False
447,old,Half Life,3,1,4,False
448,days,Half Life,4,1,1,False
449,mind,Half Life,4,1,7,False
450,burdened,Half Life,8,3,1,False
451,by,Half Life,2,0,2,False
452,the,Half Life,3,1,31,False
453,old,Half Life,3,1,4,False
454,ways,Half Life,4,1,1,False
455,keep,Half Life,4,2,2,False
456,trying,Half Life,6,1,2,False
457,to,Half Life,2,1,24,False
458,forget,Half Life,6,2,2,False
459,about,Half Life,5,3,3,False
460,it,Half Life,2,1,21,False
461,watch,Half Life,5,1,1,False
462,a,Half Life,1,1,21,False
463,video,Half Life,5,3,1,False
464,don't,Half Life,5,1,12,False
465,fret,Half Life,4,1,1,False
466,about,Half Life,5,3,3,False
467,it,Half Life,2,1,21,False
468,no,Half Life,2,1,8,False
469,you,Half Life,3,2,52,True
470,don't,Half Life,5,1,12,False
471,need,Half Life,4,2,3,False
472,it,Half Life,2,1,21,False
473,why,Half Life,3,0,3,False
474,you,Half Life,3,2,52,True
475,want,Half Life,4,1,3,False
476,it,Half Life,2,1,21,False
477,want,Half Life,4,1,3,False
478,it,Half Life,2,1,21,False
479,i,Half Life,1,1,67,True
480,don't,Half Life,5,1,12,False
481,see,Half Life,3,2,5,False
482,you,Half Life,3,2,52,True
483,moving,Half Life,6,2,7,False
484,on,Half Life,2,1,11,False
485,kid,Half Life,3,1,3,False
486,on,Half Life,2,1,11,False
487,kid,Half Life,3,1,3,False
488,i,Half Life,1,1,67,True
489,don't,Half Life,5,1,12,False
490,see,Half Life,3,2,5,False
491,you,Half Life,3,2,52,True
492,moving,Half Life,6,2,7,False
493,on,Half Life,2,1,11,False
494,kid,Half Life,3,1,3,False
495,no,Half Life,2,1,8,False
496,i,Half Life,1,1,67,True
497,don't,Half Life,5,1,12,False
498,see,Half Life,3,2,5,False
499,you,Half Life,3,2,52,True
500,moving,Half Life,6,2,7,False
501,on,Half Life,2,1,11,False
502,now,Half Life,3,1,10,False
503,i,Half Life,1,1,67,True
504,see,Half Life,3,2,5,False
505,i,Half Life,1,1,67,True
