Unnamed: 0,Word,Song,Word Length,Number of Vowels,Frequency,Pronoun,Overall Frequency,Song Frequency
0,lately,Personal Lies,6,2,1,False,1,1
1,i,Personal Lies,1,1,67,True,67,22
2,feel,Personal Lies,4,2,2,False,2,2
3,like,Personal Lies,4,2,5,False,5,1
4,i've,Personal Lies,4,2,1,True,1,1
5,been,Personal Lies,4,2,1,False,1,1
6,losing,Personal Lies,6,2,1,False,1,1
7,my,Personal Lies,2,0,33,True,33,14
8,mind,Personal Lies,4,1,7,False,7,5
9,i'm,Personal Lies,3,1,13,True,13,5
10,acting,Personal Lies,6,2,1,False,1,1
11,funny,Personal Lies,5,1,1,False,1,1
12,i,Personal Lies,1,1,67,True,67,22
13,keep,Personal Lies,4,2,2,False,2,1
14,refilling,Personal Lies,9,3,1,False,1,1
15,my,Personal Lies,2,0,33,True,33,14
16,wine,Personal Lies,4,2,1,False,1,1
17,i,Personal Lies,1,1,67,True,67,22
18,fail,Personal Lies,4,2,1,False,1,1
19,to,Personal Lies,2,1,24,False,24,4
20,notice,Personal Lies,6,3,1,False,1,1
21,when,Personal Lies,4,1,8,False,8,5
22,i,Personal Lies,1,1,67,True,67,22
23,blew,Personal Lies,4,1,1,False,1,1
24,past,Personal Lies,4,1,1,False,1,1
25,my,Personal Lies,2,0,33,True,33,14
26,limit,Personal Lies,5,2,2,False,2,2
27,and,Personal Lies,3,1,19,False,19,4
28,then,Personal Lies,4,1,3,False,3,1
29,i,Personal Lies,1,1,67,True,67,22
30,lied,Personal Lies,4,2,1,False,1,1
31,about,Personal Lies,5,3,3,False,3,1
32,it,Personal Lies,2,1,21,False,21,5
33,said,Personal Lies,4,2,2,False,2,1
34,i,Personal Lies,1,1,67,True,67,22
35,didn't,Personal Lies,6,1,2,False,2,2
36,i'm,Personal Lies,3,1,13,True,13,5
37,writing,Personal Lies,7,2,1,False,1,1
38,words,Personal Lies,5,1,1,False,1,1
39,that,Personal Lies,4,1,15,False,15,7
40,didn't,Personal Lies,6,1,2,False,2,2
41,come,Personal Lies,4,2,1,False,1,1
42,to,Personal Lies,2,1,24,False,24,4
43,my,Personal Lies,2,0,33,True,33,14
44,head,Personal Lies,4,2,4,False,4,2
45,i'm,Personal Lies,3,1,13,True,13,5
46,pushing,Personal Lies,7,2,1,False,1,1
47,pennies,Personal Lies,7,3,1,False,1,1
48,in,Personal Lies,2,1,17,False,17,1
49,my,Personal Lies,2,0,33,True,33,14
50,paperback,Personal Lies,9,3,1,False,1,1
51,instead,Personal Lies,7,3,1,False,1,1
52,when,Personal Lies,4,1,8,False,8,5
53,someone,Personal Lies,7,4,2,True,2,1
54,calls,Personal Lies,5,1,1,False,1,1
55,me,Personal Lies,2,1,21,True,21,4
56,i'm,Personal Lies,3,1,13,True,13,5
57,most,Personal Lies,4,1,1,False,1,1
58,likely,Personal Lies,6,2,1,False,1,1
59,to,Personal Lies,2,1,24,False,24,4
60,ignore,Personal Lies,6,3,1,False,1,1
61,cause,Personal Lies,5,3,4,False,4,1
62,recall,Personal Lies,6,2,1,False,1,1
63,that,Personal Lies,4,1,15,False,15,7
64,limit,Personal Lies,5,2,2,False,2,2
65,that,Personal Lies,4,1,15,False,15,7
66,i,Personal Lies,1,1,67,True,67,22
67,missed,Personal Lies,6,2,1,False,1,1
68,before,Personal Lies,6,3,1,False,1,1
69,she's,Personal Lies,5,1,11,True,11,10
70,moving,Personal Lies,6,2,7,False,7,4
71,faster,Personal Lies,6,2,9,False,9,8
72,now,Personal Lies,3,1,10,False,10,7
73,faster,Personal Lies,6,2,9,False,9,8
74,than,Personal Lies,4,1,5,False,5,4
75,sound,Personal Lies,5,2,5,False,5,4
76,itself,Personal Lies,6,2,4,True,4,4
77,yeah,Personal Lies,4,2,3,False,3,2
78,she's,Personal Lies,5,1,11,True,11,10
79,got,Personal Lies,3,1,7,False,7,6
80,me,Personal Lies,2,1,21,True,21,4
81,slipping,Personal Lies,8,2,3,False,3,3
82,when,Personal Lies,4,1,8,False,8,5
83,i,Personal Lies,1,1,67,True,67,22
84,told,Personal Lies,4,1,2,False,2,2
85,her,Personal Lies,3,1,2,True,2,2
86,what,Personal Lies,4,1,3,False,3,3
87,was,Personal Lies,3,1,4,False,4,1
88,on,Personal Lies,2,1,11,False,11,4
89,my,Personal Lies,2,0,33,True,33,14
90,mind,Personal Lies,4,1,7,False,7,5
91,that,Personal Lies,4,1,15,False,15,7
92,she's,Personal Lies,5,1,11,True,11,10
93,mysterious,Personal Lies,10,4,5,False,5,5
94,i,Personal Lies,1,1,67,True,67,22
95,caught,Personal Lies,6,2,1,False,1,1
96,a,Personal Lies,1,1,21,False,21,1
97,current,Personal Lies,7,2,1,False,1,1
98,and,Personal Lies,3,1,19,False,19,4
99,i'm,Personal Lies,3,1,13,True,13,5
100,floatin,Personal Lies,7,3,1,False,1,1
101,away,Personal Lies,4,2,1,False,1,1
102,i,Personal Lies,1,1,67,True,67,22
103,feel,Personal Lies,4,2,2,False,2,2
104,it,Personal Lies,2,1,21,False,21,5
105,right,Personal Lies,5,1,5,False,5,5
106,behind,Personal Lies,6,2,2,False,2,2
107,my,Personal Lies,2,0,33,True,33,14
108,mind,Personal Lies,4,1,7,False,7,5
109,my,Personal Lies,2,0,33,True,33,14
110,head,Personal Lies,4,2,4,False,4,2
111,my,Personal Lies,2,0,33,True,33,14
112,brain,Personal Lies,5,2,1,False,1,1
113,is,Personal Lies,2,1,10,False,10,5
114,that,Personal Lies,4,1,15,False,15,7
115,my,Personal Lies,2,0,33,True,33,14
116,tears,Personal Lies,5,2,1,False,1,1
117,or,Personal Lies,2,1,2,False,2,2
118,is,Personal Lies,2,1,10,False,10,5
119,it,Personal Lies,2,1,21,False,21,5
120,right,Personal Lies,5,1,5,False,5,5
121,behind,Personal Lies,6,2,2,False,2,2
122,my,Personal Lies,2,0,33,True,33,14
123,eyes,Personal Lies,4,2,1,False,1,1
124,sooner,Personal Lies,6,3,1,False,1,1
125,or,Personal Lies,2,1,2,False,2,2
126,later,Personal Lies,5,2,1,False,1,1
127,will,Personal Lies,4,1,2,False,2,1
128,i,Personal Lies,1,1,67,True,67,22
129,realize,Personal Lies,7,4,1,False,1,1
130,fake,Personal Lies,4,2,1,False,1,1
131,aggravation,Personal Lies,11,5,1,False,1,1
132,is,Personal Lies,2,1,10,False,10,5
133,your,Personal Lies,4,2,4,True,4,1
134,way,Personal Lies,3,1,3,False,3,2
135,to,Personal Lies,2,1,24,False,24,4
136,be,Personal Lies,2,1,6,False,6,1
137,seen,Personal Lies,4,2,1,False,1,1
138,you,Personal Lies,3,2,52,True,52,19
139,summon,Personal Lies,6,2,1,False,1,1
140,every,Personal Lies,5,2,2,False,2,1
141,single,Personal Lies,6,2,2,False,2,1
142,muscle,Personal Lies,6,2,1,False,1,1
143,on,Personal Lies,2,1,11,False,11,4
144,the,Personal Lies,3,1,31,False,31,5
145,team,Personal Lies,4,2,2,False,2,1
146,you,Personal Lies,3,2,52,True,52,19
147,need,Personal Lies,4,2,3,False,3,1
148,attention,Personal Lies,9,4,1,False,1,1
149,well,Personal Lies,4,1,2,False,2,2
150,baby,Personal Lies,4,1,2,False,2,2
151,there's,Personal Lies,7,2,4,False,4,1
152,the,Personal Lies,3,1,31,False,31,5
153,line,Personal Lies,4,2,1,False,1,1
154,signed,Personal Lies,6,2,1,False,1,1
155,sealed,Personal Lies,6,3,2,False,2,1
156,delivered,Personal Lies,9,4,1,False,1,1
157,plus,Personal Lies,4,1,1,False,1,1
158,my,Personal Lies,2,0,33,True,33,14
159,overtime,Personal Lies,8,4,1,False,1,1
160,she's,Personal Lies,5,1,11,True,11,10
161,moving,Personal Lies,6,2,7,False,7,4
162,faster,Personal Lies,6,2,9,False,9,8
163,now,Personal Lies,3,1,10,False,10,7
164,faster,Personal Lies,6,2,9,False,9,8
165,than,Personal Lies,4,1,5,False,5,4
166,sound,Personal Lies,5,2,5,False,5,4
167,itself,Personal Lies,6,2,4,True,4,4
168,yeah,Personal Lies,4,2,3,False,3,2
169,she's,Personal Lies,5,1,11,True,11,10
170,got,Personal Lies,3,1,7,False,7,6
171,me,Personal Lies,2,1,21,True,21,4
172,slipping,Personal Lies,8,2,3,False,3,3
173,when,Personal Lies,4,1,8,False,8,5
174,i,Personal Lies,1,1,67,True,67,22
175,told,Personal Lies,4,1,2,False,2,2
176,her,Personal Lies,3,1,2,True,2,2
177,what,Personal Lies,4,1,3,False,3,3
178,is,Personal Lies,2,1,10,False,10,5
179,on,Personal Lies,2,1,11,False,11,4
180,my,Personal Lies,2,0,33,True,33,14
181,mind,Personal Lies,4,1,7,False,7,5
182,that,Personal Lies,4,1,15,False,15,7
183,she's,Personal Lies,5,1,11,True,11,10
184,mysterious,Personal Lies,10,4,5,False,5,5
185,mysterious,Personal Lies,10,4,5,False,5,5
186,and,Personal Lies,3,1,19,False,19,4
187,now,Personal Lies,3,1,10,False,10,7
188,i,Personal Lies,1,1,67,True,67,22
189,know,Personal Lies,4,1,10,False,10,7
190,it,Personal Lies,2,1,21,False,21,5
191,she's,Personal Lies,5,1,11,True,11,10
192,moving,Personal Lies,6,2,7,False,7,4
193,faster,Personal Lies,6,2,9,False,9,8
194,now,Personal Lies,3,1,10,False,10,7
195,she's,Personal Lies,5,1,11,True,11,10
196,moving,Personal Lies,6,2,7,False,7,4
197,faster,Personal Lies,6,2,9,False,9,8
198,now,Personal Lies,3,1,10,False,10,7
199,faster,Personal Lies,6,2,9,False,9,8
200,than,Personal Lies,4,1,5,False,5,4
